symbol,date,bull_prob,side_prob,bear_prob,f6_cont
BTCUSDT,2019-09-15,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-16,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-17,0.0,1.0,0.0,0.0
BTCUSDT,2019-09-18,0.0,1.0,0.0,0.0
BTCUSDT,2019-09-19,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-20,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-21,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-22,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-23,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-24,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-25,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-26,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-27,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-28,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-29,0.0,0.0,1.0,0.0
BTCUSDT,2019-09-30,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-01,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-02,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-03,0.0,1.0,0.0,0.0
BTCUSDT,2019-10-04,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-05,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-06,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-07,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-08,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-09,0.0,1.0,0.0,0.0
BTCUSDT,2019-10-10,0.0026,0.9974,0.0,0.0026
BTCUSDT,2019-10-11,0.0025,0.9975,0.0,0.0025
BTCUSDT,2019-10-12,0.0025,0.9975,0.0,0.0025
BTCUSDT,2019-10-13,0.0026,0.9974,0.0,0.0026
BTCUSDT,2019-10-14,0.0,1.0,0.0,0.0
BTCUSDT,2019-10-15,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-16,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-17,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-18,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-19,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-20,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-21,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-22,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-23,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-24,0.0,0.0,1.0,0.0
BTCUSDT,2019-10-25,0.0,1.0,0.0,0.0
BTCUSDT,2019-10-26,0.0056,0.9944,0.0,0.0056
BTCUSDT,2019-10-27,0.0059,0.9941,0.0,0.0059
BTCUSDT,2019-10-28,0.0037,0.9963,0.0,0.0037
BTCUSDT,2019-10-29,0.0063,0.9937,0.0,0.0063
BTCUSDT,2019-10-30,0.016,0.984,0.0,0.016
BTCUSDT,2019-10-31,0.0169,0.9831,0.0,0.0169
BTCUSDT,2019-11-01,0.0024,0.9976,0.0,0.0024
BTCUSDT,2019-11-02,0.0,1.0,0.0,0.0
BTCUSDT,2019-11-03,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-04,0.0,1.0,0.0,0.0
BTCUSDT,2019-11-05,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-06,0.0,1.0,0.0,0.0
BTCUSDT,2019-11-07,0.0,1.0,0.0,0.0
BTCUSDT,2019-11-08,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-09,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-10,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-11,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-12,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-13,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-14,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-15,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-16,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-17,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-18,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-19,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-20,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-21,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-22,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-23,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-24,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-25,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-26,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-27,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-28,0.0,0.0,1.0,0.0
BTCUSDT,2019-11-29,0.0,1.0,0.0,0.0
BTCUSDT,2019-11-30,0.0027,0.9973,0.0,0.0027
BTCUSDT,2019-12-01,0.0029,0.9971,0.0,0.0029
BTCUSDT,2019-12-02,0.0027,0.9973,0.0,0.0027
BTCUSDT,2019-12-03,0.0,1.0,0.0,0.0
BTCUSDT,2019-12-04,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-05,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-06,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-07,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-08,0.0,1.0,0.0,0.0
BTCUSDT,2019-12-09,0.0,1.0,0.0,0.0
BTCUSDT,2019-12-10,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-11,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-12,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-13,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-14,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-15,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-16,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-17,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-18,0.0,1.0,0.0,0.0
BTCUSDT,2019-12-19,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-20,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-21,0.0,1.0,0.0,0.0
BTCUSDT,2019-12-22,0.0028,0.9972,0.0,0.0028
BTCUSDT,2019-12-23,0.0029,0.9971,0.0,0.0029
BTCUSDT,2019-12-24,0.0,1.0,0.0,0.0
BTCUSDT,2019-12-25,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-26,0.0,1.0,0.0,0.0
BTCUSDT,2019-12-27,0.0026,0.9974,0.0,0.0026
BTCUSDT,2019-12-28,0.0,1.0,0.0,0.0
BTCUSDT,2019-12-29,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-30,0.0,0.0,1.0,0.0
BTCUSDT,2019-12-31,0.0,0.0,1.0,0.0
BTCUSDT,2020-01-01,0.0,0.0,1.0,0.0
BTCUSDT,2020-01-02,0.0,0.0,1.0,0.0
BTCUSDT,2020-01-03,0.0,1.0,0.0,0.0
BTCUSDT,2020-01-04,0.0,1.0,0.0,0.0
BTCUSDT,2020-01-05,0.0,0.0,1.0,0.0
BTCUSDT,2020-01-06,0.0,1.0,0.0,0.0
BTCUSDT,2020-01-07,0.0047,0.9953,0.0,0.0047
BTCUSDT,2020-01-08,0.0043,0.9957,0.0,0.0043
BTCUSDT,2020-01-09,0.0045,0.9955,0.0,0.0045
BTCUSDT,2020-01-10,0.0039,0.9961,0.0,0.0039
BTCUSDT,2020-01-11,0.0033,0.9967,0.0,0.0033
BTCUSDT,2020-01-12,0.0038,0.9962,0.0,0.0038
BTCUSDT,2020-01-13,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-01-14,0.0031,0.9969,0.0,0.0031
BTCUSDT,2020-01-15,0.0033,0.9967,0.0,0.0033
BTCUSDT,2020-01-16,0.0037,0.9963,0.0,0.0037
BTCUSDT,2020-01-17,0.0034,0.9966,0.0,0.0034
BTCUSDT,2020-01-18,0.0039,0.9961,0.0,0.0039
BTCUSDT,2020-01-19,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-01-20,0.0,1.0,0.0,0.0
BTCUSDT,2020-01-21,0.0,0.0,1.0,0.0
BTCUSDT,2020-01-22,0.0,0.0,1.0,0.0
BTCUSDT,2020-01-23,0.0,0.0,1.0,0.0
BTCUSDT,2020-01-24,0.0,0.0,1.0,0.0
BTCUSDT,2020-01-25,0.0,0.0,1.0,0.0
BTCUSDT,2020-01-26,0.0,0.0,1.0,0.0
BTCUSDT,2020-01-27,0.0,1.0,0.0,0.0
BTCUSDT,2020-01-28,0.003,0.997,0.0,0.003
BTCUSDT,2020-01-29,0.003,0.997,0.0,0.003
BTCUSDT,2020-01-30,0.0046,0.9954,0.0,0.0046
BTCUSDT,2020-01-31,0.0038,0.9962,0.0,0.0038
BTCUSDT,2020-02-01,0.0043,0.9957,0.0,0.0043
BTCUSDT,2020-02-02,0.0033,0.9967,0.0,0.0033
BTCUSDT,2020-02-03,0.0,1.0,0.0,0.0
BTCUSDT,2020-02-04,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-05,0.0,1.0,0.0,0.0
BTCUSDT,2020-02-06,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-02-07,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-02-08,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-02-09,0.0033,0.9967,0.0,0.0033
BTCUSDT,2020-02-10,0.003,0.997,0.0,0.003
BTCUSDT,2020-02-11,0.004,0.996,0.0,0.004
BTCUSDT,2020-02-12,0.0032,0.9968,0.0,0.0032
BTCUSDT,2020-02-13,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-02-14,0.003,0.997,0.0,0.003
BTCUSDT,2020-02-15,0.0,1.0,0.0,0.0
BTCUSDT,2020-02-16,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-17,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-18,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-19,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-20,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-21,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-22,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-23,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-24,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-25,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-26,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-27,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-28,0.0,0.0,1.0,0.0
BTCUSDT,2020-02-29,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-01,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-02,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-03,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-04,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-05,0.0,1.0,0.0,0.0
BTCUSDT,2020-03-06,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-03-07,0.0,1.0,0.0,0.0
BTCUSDT,2020-03-08,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-09,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-10,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-11,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-12,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-13,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-14,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-15,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-16,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-17,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-18,0.0,0.0,1.0,0.0
BTCUSDT,2020-03-19,0.0002,0.9998,0.0,0.0002
BTCUSDT,2020-03-20,0.0007,0.9993,0.0,0.0007
BTCUSDT,2020-03-21,0.0027,0.9973,0.0,0.0027
BTCUSDT,2020-03-22,0.0005,0.9995,0.0,0.0005
BTCUSDT,2020-03-23,0.0209,0.9791,0.0,0.0209
BTCUSDT,2020-03-24,0.0261,0.9739,0.0,0.0261
BTCUSDT,2020-03-25,0.0182,0.9818,0.0,0.0182
BTCUSDT,2020-03-26,0.0004,0.9996,0.0,0.0004
BTCUSDT,2020-03-27,0.0003,0.9997,0.0,0.0003
BTCUSDT,2020-03-28,0.0002,0.9998,0.0,0.0002
BTCUSDT,2020-03-29,0.0002,0.9998,0.0,0.0002
BTCUSDT,2020-03-30,0.0,1.0,0.0,0.0
BTCUSDT,2020-03-31,0.0,0.0,1.0,0.0
BTCUSDT,2020-04-01,0.0,0.0,1.0,0.0
BTCUSDT,2020-04-02,0.0,1.0,0.0,0.0
BTCUSDT,2020-04-03,0.0015,0.9985,0.0,0.0015
BTCUSDT,2020-04-04,0.0024,0.9976,0.0,0.0024
BTCUSDT,2020-04-05,0.0041,0.9959,0.0,0.0041
BTCUSDT,2020-04-06,0.0035,0.9965,0.0,0.0035
BTCUSDT,2020-04-07,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-04-08,0.0027,0.9973,0.0,0.0027
BTCUSDT,2020-04-09,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-04-10,0.0,1.0,0.0,0.0
BTCUSDT,2020-04-11,0.0,0.0,1.0,0.0
BTCUSDT,2020-04-12,0.0,1.0,0.0,0.0
BTCUSDT,2020-04-13,0.0,0.0,1.0,0.0
BTCUSDT,2020-04-14,0.0,0.0,1.0,0.0
BTCUSDT,2020-04-15,0.0,0.0,1.0,0.0
BTCUSDT,2020-04-16,0.0,0.0,1.0,0.0
BTCUSDT,2020-04-17,0.0,1.0,0.0,0.0
BTCUSDT,2020-04-18,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-04-19,0.0024,0.9976,0.0,0.0024
BTCUSDT,2020-04-20,0.0025,0.9975,0.0,0.0025
BTCUSDT,2020-04-21,0.0025,0.9975,0.0,0.0025
BTCUSDT,2020-04-22,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-04-23,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-04-24,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-04-25,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-04-26,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-04-27,0.0047,0.9953,0.0,0.0047
BTCUSDT,2020-04-28,0.0047,0.9953,0.0,0.0047
BTCUSDT,2020-04-29,0.0203,0.9797,0.0,0.0203
BTCUSDT,2020-04-30,0.0063,0.9937,0.0,0.0063
BTCUSDT,2020-05-01,0.0073,0.9927,0.0,0.0073
BTCUSDT,2020-05-02,0.0089,0.9911,0.0,0.0089
BTCUSDT,2020-05-03,0.006,0.994,0.0,0.006
BTCUSDT,2020-05-04,0.005,0.995,0.0,0.005
BTCUSDT,2020-05-05,0.0057,0.9943,0.0,0.0057
BTCUSDT,2020-05-06,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-05-07,0.0054,0.9946,0.0,0.0054
BTCUSDT,2020-05-08,0.0037,0.9963,0.0,0.0037
BTCUSDT,2020-05-09,0.0,1.0,0.0,0.0
BTCUSDT,2020-05-10,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-11,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-12,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-13,0.0,1.0,0.0,0.0
BTCUSDT,2020-05-14,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-15,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-16,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-17,0.0,1.0,0.0,0.0
BTCUSDT,2020-05-18,0.0041,0.9959,0.0,0.0041
BTCUSDT,2020-05-19,0.0032,0.9968,0.0,0.0032
BTCUSDT,2020-05-20,0.0,1.0,0.0,0.0
BTCUSDT,2020-05-21,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-22,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-23,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-24,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-25,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-26,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-27,0.0,0.0,1.0,0.0
BTCUSDT,2020-05-28,0.0,1.0,0.0,0.0
BTCUSDT,2020-05-29,0.0024,0.9976,0.0,0.0024
BTCUSDT,2020-05-30,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-05-31,0.003,0.997,0.0,0.003
BTCUSDT,2020-06-01,0.005,0.995,0.0,0.005
BTCUSDT,2020-06-02,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-06-03,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-06-04,0.0025,0.9975,0.0,0.0025
BTCUSDT,2020-06-05,0.0,1.0,0.0,0.0
BTCUSDT,2020-06-06,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-07,0.0,1.0,0.0,0.0
BTCUSDT,2020-06-08,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-09,0.0,1.0,0.0,0.0
BTCUSDT,2020-06-10,0.0,1.0,0.0,0.0
BTCUSDT,2020-06-11,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-12,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-13,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-14,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-15,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-16,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-17,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-18,0.0,1.0,0.0,0.0
BTCUSDT,2020-06-19,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-20,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-21,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-22,0.0,1.0,0.0,0.0
BTCUSDT,2020-06-23,0.0,1.0,0.0,0.0
BTCUSDT,2020-06-24,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-25,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-26,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-27,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-28,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-29,0.0,0.0,1.0,0.0
BTCUSDT,2020-06-30,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-01,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-02,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-03,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-04,0.0,1.0,0.0,0.0
BTCUSDT,2020-07-05,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-06,0.0,1.0,0.0,0.0
BTCUSDT,2020-07-07,0.003,0.997,0.0,0.003
BTCUSDT,2020-07-08,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-07-09,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-07-10,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-07-11,0.003,0.997,0.0,0.003
BTCUSDT,2020-07-12,0.0,1.0,0.0,0.0
BTCUSDT,2020-07-13,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-14,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-15,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-16,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-17,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-18,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-19,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-20,0.0,0.0,1.0,0.0
BTCUSDT,2020-07-21,0.0,1.0,0.0,0.0
BTCUSDT,2020-07-22,0.003,0.997,0.0,0.003
BTCUSDT,2020-07-23,0.003,0.997,0.0,0.003
BTCUSDT,2020-07-24,0.003,0.997,0.0,0.003
BTCUSDT,2020-07-25,0.0031,0.9969,0.0,0.0031
BTCUSDT,2020-07-26,0.0033,0.9967,0.0,0.0033
BTCUSDT,2020-07-27,0.0106,0.9894,0.0,0.0106
BTCUSDT,2020-07-28,0.0065,0.9935,0.0,0.0065
BTCUSDT,2020-07-29,0.0067,0.9933,0.0,0.0067
BTCUSDT,2020-07-30,0.0062,0.9938,0.0,0.0062
BTCUSDT,2020-07-31,0.0088,0.9912,0.0,0.0088
BTCUSDT,2020-08-01,0.0135,0.9865,0.0,0.0135
BTCUSDT,2020-08-02,0.0039,0.9961,0.0,0.0039
BTCUSDT,2020-08-03,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-08-04,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-08-05,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-08-06,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-08-07,0.0,1.0,0.0,0.0
BTCUSDT,2020-08-08,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-09,0.0,1.0,0.0,0.0
BTCUSDT,2020-08-10,0.0027,0.9973,0.0,0.0027
BTCUSDT,2020-08-11,0.0,1.0,0.0,0.0
BTCUSDT,2020-08-12,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-13,0.0,1.0,0.0,0.0
BTCUSDT,2020-08-14,0.0024,0.9976,0.0,0.0024
BTCUSDT,2020-08-15,0.0024,0.9976,0.0,0.0024
BTCUSDT,2020-08-16,0.0024,0.9976,0.0,0.0024
BTCUSDT,2020-08-17,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-08-18,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-08-19,0.0027,0.9973,0.0,0.0027
BTCUSDT,2020-08-20,0.0,1.0,0.0,0.0
BTCUSDT,2020-08-21,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-22,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-23,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-24,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-25,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-26,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-27,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-28,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-29,0.0,0.0,1.0,0.0
BTCUSDT,2020-08-30,0.0,1.0,0.0,0.0
BTCUSDT,2020-08-31,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-01,0.0,1.0,0.0,0.0
BTCUSDT,2020-09-02,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-03,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-04,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-05,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-06,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-07,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-08,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-09,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-10,0.0,1.0,0.0,0.0
BTCUSDT,2020-09-11,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-12,0.0,1.0,0.0,0.0
BTCUSDT,2020-09-13,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-09-14,0.0025,0.9975,0.0,0.0025
BTCUSDT,2020-09-15,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-09-16,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-09-17,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-09-18,0.0027,0.9973,0.0,0.0027
BTCUSDT,2020-09-19,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-09-20,0.0,1.0,0.0,0.0
BTCUSDT,2020-09-21,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-22,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-23,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-24,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-25,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-26,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-27,0.0,0.0,1.0,0.0
BTCUSDT,2020-09-28,0.0,1.0,0.0,0.0
BTCUSDT,2020-09-29,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-09-30,0.0,1.0,0.0,0.0
BTCUSDT,2020-10-01,0.0,0.0,1.0,0.0
BTCUSDT,2020-10-02,0.0,0.0,1.0,0.0
BTCUSDT,2020-10-03,0.0,0.0,1.0,0.0
BTCUSDT,2020-10-04,0.0,0.0,1.0,0.0
BTCUSDT,2020-10-05,0.0,1.0,0.0,0.0
BTCUSDT,2020-10-06,0.0,0.0,1.0,0.0
BTCUSDT,2020-10-07,0.0,0.0,1.0,0.0
BTCUSDT,2020-10-08,0.0,1.0,0.0,0.0
BTCUSDT,2020-10-09,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-10-10,0.0032,0.9968,0.0,0.0032
BTCUSDT,2020-10-11,0.0031,0.9969,0.0,0.0031
BTCUSDT,2020-10-12,0.0032,0.9968,0.0,0.0032
BTCUSDT,2020-10-13,0.0033,0.9967,0.0,0.0033
BTCUSDT,2020-10-14,0.0032,0.9968,0.0,0.0032
BTCUSDT,2020-10-15,0.0031,0.9969,0.0,0.0031
BTCUSDT,2020-10-16,0.003,0.997,0.0,0.003
BTCUSDT,2020-10-17,0.0031,0.9969,0.0,0.0031
BTCUSDT,2020-10-18,0.003,0.997,0.0,0.003
BTCUSDT,2020-10-19,0.003,0.997,0.0,0.003
BTCUSDT,2020-10-20,0.003,0.997,0.0,0.003
BTCUSDT,2020-10-21,0.0043,0.9957,0.0,0.0043
BTCUSDT,2020-10-22,0.0045,0.9955,0.0,0.0045
BTCUSDT,2020-10-23,0.0052,0.9948,0.0,0.0052
BTCUSDT,2020-10-24,0.0058,0.9942,0.0,0.0058
BTCUSDT,2020-10-25,0.0048,0.9952,0.0,0.0048
BTCUSDT,2020-10-26,0.004,0.996,0.0,0.004
BTCUSDT,2020-10-27,0.0054,0.9946,0.0,0.0054
BTCUSDT,2020-10-28,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-10-29,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-10-30,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-10-31,0.0029,0.9971,0.0,0.0029
BTCUSDT,2020-11-01,0.003,0.997,0.0,0.003
BTCUSDT,2020-11-02,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-11-03,0.0028,0.9972,0.0,0.0028
BTCUSDT,2020-11-04,0.003,0.997,0.0,0.003
BTCUSDT,2020-11-05,0.0062,0.9938,0.0,0.0062
BTCUSDT,2020-11-06,0.0055,0.9945,0.0,0.0055
BTCUSDT,2020-11-07,0.003,0.997,0.0,0.003
BTCUSDT,2020-11-08,0.0043,0.9957,0.0,0.0043
BTCUSDT,2020-11-09,0.0045,0.9955,0.0,0.0045
BTCUSDT,2020-11-10,0.0033,0.9967,0.0,0.0033
BTCUSDT,2020-11-11,0.0038,0.9962,0.0,0.0038
BTCUSDT,2020-11-12,0.0026,0.9974,0.0,0.0026
BTCUSDT,2020-11-13,0.0027,0.9973,0.0,0.0027
BTCUSDT,2020-11-14,0.0031,0.9969,0.0,0.0031
BTCUSDT,2020-11-15,0.0025,0.9975,0.0,0.0025
BTCUSDT,2020-11-16,0.0032,0.9968,0.0,0.0032
BTCUSDT,2020-11-17,0.0058,0.9942,0.0,0.0058
BTCUSDT,2020-11-18,0.0047,0.9953,0.0,0.0047
BTCUSDT,2020-11-19,0.0033,0.9967,0.0,0.0033
BTCUSDT,2020-11-20,0.005,0.995,0.0,0.005
BTCUSDT,2020-11-21,0.0062,0.9938,0.0,0.0062
BTCUSDT,2020-11-22,0.0056,0.9944,0.0,0.0056
